query_id,bf_time,bf_memory,kd_time,kd_memory,kd_accuracy,bbf_time,bbf_memory,bbf_accuracy,file_id,dimensions,num_points
25,236129.0454864502,0,17834.186553955078,0,1.0,5101.919174194336,0,0.5069705,1,8,100000
26,247734.06982421875,0,4106.044769287109,0,1.0,26364.08805847168,0,1.0,1,8,100000
27,251688.00354003906,0,3001.2130737304688,0,1.0,7261.753082275391,0,1.0,1,8,100000
28,235788.10691833496,0,12501.001358032227,0,1.0,9208.202362060547,0,1.0,1,8,100000
29,273310.89973449707,0,476.837158203125,0,1.0,11330.127716064453,0,1.0,1,8,100000
30,229284.04808044434,0,8139.133453369141,0,1.0,4754.781723022461,0,0.8301117,1,8,100000
31,244590.99769592285,0,2226.8295288085938,0,1.0,12536.048889160156,0,0.78903353,1,8,100000
32,215797.90115356445,0,2768.0397033691406,0,1.0,5908.966064453125,0,1.0,1,8,100000
33,215036.86904907227,0,1658.2012176513672,0,1.0,7905.006408691406,0,1.0,1,8,100000
34,215188.98010253906,0,6092.78678894043,0,1.0,7401.943206787109,0,0.55358034,1,8,100000
35,248255.96809387207,0,1963.6154174804688,0,1.0,11389.017105102539,0,1.0,1,8,100000
36,230759.1438293457,0,2161.741256713867,0,1.0,6434.202194213867,0,0.3119372,1,8,100000
37,242472.41020202637,0,2043.2472229003906,0,1.0,6910.800933837891,0,0.33738896,1,8,100000
38,212069.03457641602,0,3170.9671020507812,0,1.0,8318.901062011719,0,0.4506973,1,8,100000
39,213218.92738342285,0,1937.8662109375,0,1.0,11656.045913696289,0,1.0,1,8,100000
40,213255.8822631836,0,1797.9145050048828,0,1.0,10546.92268371582,0,1.0,1,8,100000
41,239819.04983520508,0,18414.25895690918,0,1.0,6087.064743041992,0,0.6488211,1,8,100000
42,267440.0806427002,0,6036.043167114258,0,1.0,10882.139205932617,0,0.9716389,1,8,100000
43,236258.02993774414,0,3142.833709716797,0,1.0,8958.101272583008,0,1.0,1,8,100000
44,214699.02992248535,0,9206.771850585938,0,1.0,9835.72006225586,0,1.0,1,8,100000
45,212231.87446594238,0,6633.996963500977,0,1.0,12347.698211669922,0,0.67880195,1,8,100000
46,213979.72106933594,0,6572.723388671875,0,1.0,21311.044692993164,0,0.9693134,1,8,100000
47,240451.81274414062,0,4336.833953857422,0,1.0,7078.1707763671875,0,0.5777037,1,8,100000
48,238554.7161102295,0,1276.0162353515625,0,1.0,9793.996810913086,0,0.5457883,1,8,100000
49,241149.90234375,0,9270.906448364258,0,1.0,8829.832077026367,0,0.84122217,1,8,100000
50,221047.87826538086,0,6116.151809692383,0,1.0,6057.024002075195,0,0.8411674,1,8,100000
51,219597.81646728516,0,5984.067916870117,0,1.0,8565.902709960938,0,0.90370554,1,8,100000
52,230538.12980651855,0,2737.0452880859375,0,1.0,7286.07177734375,0,0.7446969,1,8,100000
53,251741.88613891602,0,11485.099792480469,0,1.0,5162.954330444336,0,0.4954349,1,8,100000
54,264418.1251525879,0,1735.9256744384766,0,1.0,14125.823974609375,0,1.0,1,8,100000
55,241906.88133239746,0,2381.0863494873047,0,1.0,11052.131652832031,0,1.0,1,8,100000
56,236986.87553405762,0,6236.791610717773,0,1.0,18980.979919433594,0,1.0,1,8,100000
57,247458.21952819824,0,3988.981246948242,0,1.0,9616.13655090332,0,0.9093533,1,8,100000
58,262356.9965362549,0,2694.1299438476562,0,1.0,14374.256134033203,0,1.0,1,8,100000
59,240424.87144470215,0,1911.163330078125,0,1.0,14048.099517822266,0,1.0,1,8,100000
60,243588.92440795898,0,7873.058319091797,0,1.0,7597.208023071289,0,0.5913302,1,8,100000
61,240813.9705657959,0,23869.752883911133,0,1.0,10490.894317626953,0,0.94987375,1,8,100000
62,236201.04789733887,-573440,1868.0095672607422,0,1.0,7642.984390258789,0,1.0,1,8,100000
63,266068.9353942871,0,4992.008209228516,0,1.0,6278.99169921875,0,0.6655288,1,8,100000
64,258464.09797668457,0,4045.248031616211,0,1.0,16968.965530395508,0,1.0,1,8,100000
65,274756.19316101074,0,8917.093276977539,0,1.0,5565.881729125977,0,1.0,1,8,100000
66,231199.9797821045,0,6591.081619262695,0,1.0,6941.080093383789,0,0.50218266,1,8,100000
67,231237.88833618164,0,2000.0934600830078,0,1.0,6369.829177856445,0,0.44547278,1,8,100000
68,232733.96492004395,-81920,673.0556488037109,0,1.0,11639.118194580078,0,0.82475555,1,8,100000
69,249021.7685699463,0,5533.933639526367,0,1.0,11368.036270141602,0,0.57244223,1,8,100000
70,233927.01148986816,0,1158.9527130126953,0,1.0,11476.993560791016,0,0.65765566,1,8,100000
71,244279.146194458,0,5026.102066040039,0,1.0,17096.996307373047,0,0.5591615,1,8,100000
72,226222.99194335938,0,1612.1864318847656,0,1.0,8545.875549316406,0,1.0,1,8,100000
73,226341.96281433105,0,3863.096237182617,0,1.0,8071.184158325195,0,1.0,1,8,100000
74,232784.03282165527,-49152,2386.0931396484375,0,1.0,7777.929306030273,0,0.54607445,1,8,100000
75,226519.10781860352,0,5367.99430847168,0,1.0,11293.888092041016,0,0.9489894,1,8,100000
76,243563.17520141602,0,2788.066864013672,0,1.0,16185.760498046875,0,1.0,1,8,100000
77,254726.88674926758,0,3310.9188079833984,0,1.0,5839.824676513672,0,0.56469166,1,8,100000
78,236903.90586853027,0,5036.115646362305,0,1.0,10022.878646850586,0,1.0,1,8,100000
79,239890.81382751465,0,21166.086196899414,0,1.0,13958.930969238281,0,0.8441469,1,8,100000
80,234740.9725189209,-229376,6901.025772094727,0,1.0,14773.845672607422,16384,0.78372884,1,8,100000
81,260491.13273620605,0,5513.191223144531,0,1.0,14536.857604980469,0,0.76674557,1,8,100000
82,226099.01428222656,0,2616.1670684814453,0,1.0,7185.935974121094,0,0.64301354,1,8,100000
83,229226.11236572266,0,17443.180084228516,0,1.0,12124.776840209961,0,1.0,1,8,100000
84,259386.77787780762,0,3324.9855041503906,0,1.0,5568.027496337891,0,0.6042337,1,8,100000
85,235666.27502441406,0,22331.953048706055,0,1.0,8781.909942626953,0,1.0,1,8,100000
86,227417.2306060791,0,2867.9370880126953,0,1.0,6914.1387939453125,0,0.5919034,1,8,100000
87,222728.96766662598,0,3377.9144287109375,0,1.0,7696.866989135742,0,1.0,1,8,100000
88,216101.88484191895,0,4731.178283691406,0,1.0,12510.061264038086,0,0.8055327,1,8,100000
89,215496.06323242188,0,20438.194274902344,0,1.0,6529.808044433594,0,1.0,1,8,100000
90,215998.88801574707,0,10224.81918334961,0,1.0,11018.037796020508,0,0.975063,1,8,100000
91,230376.9588470459,0,8929.014205932617,0,1.0,7927.179336547852,0,1.0,1,8,100000
92,224180.9368133545,0,5694.150924682617,0,1.0,9443.998336791992,0,0.83143973,1,8,100000
93,221077.91900634766,0,6333.827972412109,0,1.0,8386.13510131836,0,1.0,1,8,100000
94,211616.99295043945,0,196.21849060058594,0,1.0,5732.77473449707,0,0.2941124,1,8,100000
95,211982.72705078125,0,6833.076477050781,0,1.0,11021.137237548828,0,1.0,1,8,100000
96,211215.73448181152,0,899.7917175292969,0,1.0,8894.920349121094,0,1.0,1,8,100000
97,211661.81564331055,0,581.0260772705078,0,1.0,9287.834167480469,0,1.0,1,8,100000
98,223911.28540039062,0,1467.9431915283203,0,1.0,10017.633438110352,0,1.0,1,8,100000
99,215790.0333404541,0,1310.110092163086,0,1.0,12705.087661743164,0,1.0,1,8,100000
0,216569.185256958,16384,1604.0802001953125,0,1.0,6511.211395263672,0,1.0,2,8,100000
1,217775.1064300537,0,3124.9523162841797,0,1.0,8409.261703491211,0,0.68536085,2,8,100000
2,225311.0408782959,0,1683.2351684570312,0,1.0,10941.028594970703,16384,1.0,2,8,100000
3,275120.97358703613,0,2081.8710327148438,0,1.0,13205.05142211914,0,1.0,2,8,100000
4,242658.8535308838,0,1578.3309936523438,0,1.0,7019.04296875,0,1.0,2,8,100000
5,252282.14263916016,0,878.0956268310547,0,1.0,5327.939987182617,0,0.47081465,2,8,100000
6,245646.95358276367,0,3484.010696411133,0,1.0,14024.972915649414,0,0.8806873,2,8,100000
7,217213.86909484863,16384,5308.866500854492,0,1.0,9190.082550048828,0,0.9508935,2,8,100000
8,217722.89276123047,0,4420.042037963867,0,1.0,4318.2373046875,0,0.7447668,2,8,100000
9,253779.88815307617,0,3308.7730407714844,0,1.0,6564.140319824219,0,0.6541339,2,8,100000
10,238653.89823913574,0,5608.797073364258,0,1.0,7622.241973876953,16384,0.45207256,2,8,100000
11,237548.1128692627,0,9188.175201416016,0,1.0,6402.254104614258,0,1.0,2,8,100000
12,248940.70625305176,0,1435.995101928711,0,1.0,7846.832275390625,0,0.3302993,2,8,100000
13,255896.09146118164,0,1320.8389282226562,0,1.0,11477.947235107422,0,0.48672163,2,8,100000
14,245746.85096740723,16384,6537.914276123047,0,1.0,6672.859191894531,0,0.9130085,2,8,100000
15,259665.96603393555,0,4398.822784423828,0,1.0,10087.013244628906,0,0.68585527,2,8,100000
16,240390.06233215332,0,3332.853317260742,0,1.0,8641.00456237793,0,0.58540726,2,8,100000
17,235899.9252319336,0,6828.069686889648,0,1.0,12886.04736328125,0,0.7483229,2,8,100000
18,245774.7459411621,0,881.195068359375,0,1.0,13502.836227416992,0,0.46560302,2,8,100000
19,257644.8917388916,0,10218.143463134766,0,1.0,7956.266403198242,0,0.6907197,2,8,100000
20,280433.89320373535,0,5521.059036254883,0,1.0,7538.318634033203,0,1.0,2,8,100000
21,255808.83026123047,16384,12236.11831665039,0,1.0,13203.859329223633,0,1.0,2,8,100000
22,244537.1150970459,0,2058.0291748046875,0,1.0,15291.213989257812,0,1.0,2,8,100000
23,243913.8889312744,0,4848.718643188477,0,1.0,13145.208358764648,0,0.5964474,2,8,100000
24,257548.09379577637,0,28913.97476196289,0,1.0,12152.910232543945,0,0.84578776,2,8,100000
25,271692.03758239746,0,2585.887908935547,0,1.0,14748.096466064453,0,1.0,2,8,100000
26,273288.0115509033,0,1964.0922546386719,0,1.0,10825.872421264648,0,1.0,2,8,100000
27,302633.04710388184,0,6175.994873046875,0,1.0,6864.070892333984,0,0.4356504,2,8,100000
28,291324.1386413574,0,2712.9650115966797,0,1.0,23115.158081054688,0,1.0,2,8,100000
29,255523.9200592041,0,5614.042282104492,0,1.0,10050.058364868164,16384,0.8439394,2,8,100000
30,323085.7849121094,0,2866.983413696289,0,1.0,8197.06916809082,0,1.0,2,8,100000
31,275223.0167388916,0,998.0201721191406,0,1.0,12043.952941894531,0,0.75532895,2,8,100000
32,240088.93966674805,0,1159.9063873291016,0,1.0,11192.083358764648,0,1.0,2,8,100000
33,247606.99272155762,0,4634.857177734375,0,1.0,4822.969436645508,0,0.38726068,2,8,100000
34,247827.76832580566,0,3591.0606384277344,0,1.0,12060.165405273438,0,0.8440553,2,8,100000
35,249367.23709106445,0,9167.909622192383,0,1.0,7675.1708984375,0,1.0,2,8,100000
36,307294.8455810547,0,625.8487701416016,0,1.0,24134.159088134766,16384,1.0,2,8,100000
37,279109.00115966797,0,3994.2264556884766,0,1.0,6627.082824707031,0,0.576597,2,8,100000
38,243754.86373901367,0,2196.073532104492,0,1.0,14631.986618041992,16384,0.46984687,2,8,100000
39,237332.10563659668,0,21021.127700805664,0,1.0,5656.242370605469,0,0.53722036,2,8,100000
40,242405.89141845703,0,1620.0542449951172,0,1.0,11481.046676635742,0,1.0,2,8,100000
41,260809.89837646484,0,15527.009963989258,0,1.0,8103.132247924805,0,0.59645975,2,8,100000
42,303876.1615753174,0,1763.8206481933594,0,1.0,11665.821075439453,0,1.0,2,8,100000
43,276878.11851501465,0,3201.007843017578,0,1.0,10887.861251831055,0,1.0,2,8,100000
44,237396.9554901123,0,2918.0049896240234,0,1.0,9958.267211914062,0,0.85456806,2,8,100000
45,244447.7081298828,0,4305.124282836914,0,1.0,6490.230560302734,0,0.8689149,2,8,100000
46,241681.09893798828,0,9090.185165405273,0,1.0,6297.826766967773,0,0.5648477,2,8,100000
47,281176.0902404785,0,9148.120880126953,0,1.0,6919.86083984375,0,0.64107156,2,8,100000
48,279805.89866638184,0,5541.801452636719,0,1.0,14170.88508605957,0,1.0,2,8,100000
49,287902.1167755127,0,4380.941390991211,0,1.0,9909.629821777344,0,1.0,2,8,100000
50,239331.9606781006,0,7764.8162841796875,0,1.0,12567.758560180664,0,1.0,2,8,100000
51,243297.10006713867,0,8582.830429077148,0,1.0,10390.043258666992,0,0.9244381,2,8,100000
52,256561.7561340332,0,2259.0160369873047,0,1.0,9961.128234863281,0,1.0,2,8,100000
53,283742.90466308594,0,10958.194732666016,0,1.0,13025.999069213867,0,1.0,2,8,100000
54,261383.056640625,0,3553.152084350586,0,1.0,15717.267990112305,0,0.5287631,2,8,100000
55,346967.9355621338,0,7365.942001342773,0,1.0,9916.067123413086,0,1.0,2,8,100000
56,267570.97244262695,0,15280.961990356445,0,1.0,9298.80142211914,0,0.7350847,2,8,100000
57,273565.05393981934,0,5729.913711547852,0,1.0,14308.929443359375,0,0.9718845,2,8,100000
58,366053.81965637207,0,2089.977264404297,0,1.0,19396.066665649414,0,0.8817344,2,8,100000
59,270984.8880767822,0,1841.3066864013672,0,1.0,10668.039321899414,0,1.0,2,8,100000
60,236301.66053771973,0,4508.018493652344,0,1.0,11941.909790039062,0,0.5399172,2,8,100000
61,238427.16217041016,0,3659.0099334716797,0,1.0,11720.895767211914,0,1.0,2,8,100000
62,238172.05429077148,0,12413.978576660156,0,1.0,10020.971298217773,0,0.8983622,2,8,100000
63,278585.91079711914,0,7174.968719482422,0,1.0,14361.858367919922,0,0.8565537,2,8,100000
64,333363.77143859863,0,2051.115036010742,0,1.0,12058.258056640625,0,0.9378196,2,8,100000
65,260081.76803588867,0,2033.9488983154297,0,1.0,9193.897247314453,0,1.0,2,8,100000
66,232081.17485046387,0,3082.9906463623047,0,1.0,9187.22152709961,0,0.91105914,2,8,100000
67,232454.0615081787,0,5977.869033813477,0,1.0,9547.948837280273,0,0.8034193,2,8,100000
68,236433.2675933838,0,883.8176727294922,0,1.0,8826.017379760742,0,0.62947565,2,8,100000
69,266884.32693481445,0,12079.238891601562,0,1.0,4566.90788269043,0,0.5861782,2,8,100000
70,289834.02252197266,0,24933.0997467041,0,1.0,12745.857238769531,0,0.98161316,2,8,100000
71,266784.9063873291,0,1632.9288482666016,0,1.0,15239.238739013672,0,1.0,2,8,100000
72,236054.8973083496,0,11967.182159423828,0,1.0,7777.929306030273,0,1.0,2,8,100000
73,235317.94548034668,0,4709.2437744140625,0,1.0,7604.360580444336,0,0.8856965,2,8,100000
74,234163.0458831787,0,4862.070083618164,0,1.0,10064.840316772461,0,0.7800433,2,8,100000
75,268681.0493469238,0,3382.2059631347656,0,1.0,19619.226455688477,16384,1.0,2,8,100000
76,294396.16203308105,0,2742.0520782470703,0,1.0,9044.885635375977,0,0.7989527,2,8,100000
77,265253.06701660156,16384,8208.751678466797,0,1.0,5213.97590637207,0,0.456779,2,8,100000
78,237101.07803344727,0,3237.9627227783203,0,1.0,13403.177261352539,0,1.0,2,8,100000
79,240052.9384613037,0,5526.065826416016,0,1.0,13434.171676635742,0,1.0,2,8,100000
80,246848.10638427734,0,3807.06787109375,0,1.0,15675.30632019043,0,1.0,2,8,100000
81,257424.11613464355,0,8927.106857299805,0,1.0,14750.003814697266,0,0.52656037,2,8,100000
82,265870.0942993164,0,7255.077362060547,0,1.0,12498.855590820312,0,0.7856485,2,8,100000
83,244052.88696289062,0,2722.9785919189453,0,1.0,10347.127914428711,0,0.7222012,2,8,100000
84,259976.86386108398,0,5828.142166137695,0,1.0,10927.915573120117,0,1.0,2,8,100000
85,270701.8852233887,0,8323.907852172852,0,1.0,7173.299789428711,0,0.58996403,2,8,100000
86,241709.23233032227,0,9698.867797851562,0,1.0,11755.943298339844,0,1.0,2,8,100000
87,227707.8628540039,0,3379.1065216064453,0,1.0,10646.10481262207,0,1.0,2,8,100000
88,220440.86456298828,0,23547.17254638672,0,1.0,11659.14535522461,0,0.8209913,2,8,100000
89,218025.92277526855,0,967.9794311523438,0,1.0,11687.994003295898,0,1.0,2,8,100000
90,219167.94776916504,0,3860.950469970703,0,1.0,7927.179336547852,0,0.7362818,2,8,100000
91,259415.864944458,0,9934.186935424805,0,1.0,11924.982070922852,0,0.6089139,2,8,100000
92,238567.11387634277,0,887.1555328369141,0,1.0,7048.845291137695,0,0.34729347,2,8,100000
93,225873.9471435547,0,766.0388946533203,0,1.0,10092.973709106445,0,1.0,2,8,100000
94,217556.95343017578,0,3610.1341247558594,0,1.0,11930.227279663086,0,0.73807865,2,8,100000
95,217962.98027038574,0,11615.03791809082,0,1.0,9867.668151855469,0,1.0,2,8,100000
96,218189.00108337402,0,5101.680755615234,0,1.0,5910.158157348633,0,0.51781744,2,8,100000
97,211533.0696105957,0,1416.2063598632812,0,1.0,9083.986282348633,0,1.0,2,8,100000
98,238192.08145141602,0,3232.0022583007812,0,1.0,11006.832122802734,0,0.97339916,2,8,100000
99,228181.8389892578,0,5499.124526977539,0,1.0,9629.011154174805,0,0.85087484,2,8,100000
0,214741.70684814453,16384,2560.138702392578,0,1.0,12548.208236694336,0,0.99203056,3,8,100000
1,217446.80404663086,0,1296.0433959960938,0,1.0,11810.064315795898,0,0.5087533,3,8,100000
2,228290.08102416992,0,2935.171127319336,0,1.0,11508.941650390625,0,0.7977376,3,8,100000
3,266862.154006958,0,2647.1614837646484,0,1.0,8296.966552734375,0,1.0,3,8,100000
4,231762.88604736328,0,3538.1317138671875,0,1.0,10275.125503540039,0,1.0,3,8,100000
5,233782.0529937744,0,2967.1192169189453,0,1.0,11737.823486328125,0,1.0,3,8,100000
6,234880.92422485352,0,5718.94645690918,0,1.0,6937.0269775390625,0,0.78815275,3,8,100000
7,220564.1269683838,32768,2873.1822967529297,0,1.0,4908.084869384766,0,0.48028597,3,8,100000
8,234106.06384277344,0,5439.996719360352,0,1.0,12104.272842407227,0,1.0,3,8,100000
9,264139.17541503906,0,2574.920654296875,0,1.0,6788.969039916992,0,0.54931647,3,8,100000
10,234171.15211486816,0,7958.173751831055,0,1.0,9300.947189331055,0,0.7868666,3,8,100000
11,232576.1318206787,0,2578.9737701416016,0,1.0,7313.251495361328,0,0.53024215,3,8,100000
12,232926.8455505371,0,1745.2239990234375,0,1.0,6571.769714355469,0,0.556914,3,8,100000
13,270683.05015563965,0,936.2697601318359,0,1.0,18054.962158203125,0,1.0,3,8,100000
14,244579.07676696777,16384,3357.8872680664062,0,1.0,10901.927947998047,0,1.0,3,8,100000
15,258308.88748168945,0,3576.040267944336,0,1.0,9980.201721191406,0,0.7593874,3,8,100000
16,234532.11784362793,0,1333.9519500732422,0,1.0,8854.62760925293,0,0.5270125,3,8,100000
17,234563.82751464844,0,1196.8612670898438,0,1.0,9085.893630981445,0,1.0,3,8,100000
18,235122.2038269043,0,11419.057846069336,0,1.0,6399.869918823242,0,0.7103843,3,8,100000
19,275799.9897003174,0,10489.702224731445,0,1.0,7211.923599243164,0,0.8883763,3,8,100000
20,260928.15399169922,0,7945.775985717773,0,1.0,8122.20573425293,0,0.44481722,3,8,100000
21,244745.01609802246,32768,10043.859481811523,0,1.0,14034.98649597168,0,0.85183126,3,8,100000
22,231860.87608337402,0,7976.055145263672,0,1.0,15135.049819946289,0,0.718927,3,8,100000
23,233973.02627563477,0,34606.93359375,0,1.0,5712.985992431641,0,0.87526107,3,8,100000
24,233524.08409118652,0,3496.885299682617,0,1.0,13261.079788208008,0,1.0,3,8,100000
25,266534.09004211426,0,2736.330032348633,0,1.0,10666.131973266602,0,0.50006455,3,8,100000
26,255946.15936279297,0,20559.310913085938,0,1.0,15768.051147460938,0,1.0,3,8,100000
27,266202.2113800049,0,5486.965179443359,0,1.0,9060.859680175781,0,0.6955766,3,8,100000
28,251954.0786743164,0,3103.017807006836,0,1.0,11772.15576171875,0,0.67308915,3,8,100000
29,260305.88150024414,0,1891.1361694335938,0,1.0,10112.04719543457,0,0.78363085,3,8,100000
30,270171.8807220459,0,5996.942520141602,0,1.0,7388.830184936523,0,1.0,3,8,100000
31,266776.08489990234,0,9262.800216674805,0,1.0,13800.859451293945,0,0.77345383,3,8,100000
32,256886.72065734863,0,1781.9404602050781,0,1.0,12018.203735351562,0,0.6565122,3,8,100000
33,252582.31163024902,0,11155.843734741211,0,1.0,7441.75910949707,0,0.4232965,3,8,100000
34,248034.00039672852,0,6216.764450073242,0,1.0,6801.128387451172,0,0.7203888,3,8,100000
35,276216.983795166,0,856.1611175537109,0,1.0,10686.159133911133,16384,1.0,3,8,100000
36,257818.22204589844,0,3736.0191345214844,0,1.0,5147.9339599609375,0,1.0,3,8,100000
37,295982.12242126465,0,1684.9040985107422,0,1.0,11696.100234985352,0,1.0,3,8,100000
38,250422.00088500977,0,1666.0690307617188,0,1.0,13450.860977172852,0,0.6631857,3,8,100000
39,251189.9471282959,0,1344.2039489746094,0,1.0,10426.28288269043,0,0.570949,3,8,100000
40,249035.12001037598,0,6272.077560424805,0,1.0,14528.989791870117,0,0.8243574,3,8,100000
41,284734.01069641113,0,11682.03353881836,0,1.0,14255.762100219727,0,1.0,3,8,100000
42,266642.80891418457,0,2326.96533203125,0,1.0,5910.158157348633,0,0.6139993,3,8,100000
43,271384.23919677734,0,12247.800827026367,0,1.0,12910.842895507812,0,1.0,3,8,100000
44,250658.98895263672,0,2260.923385620117,0,1.0,10555.028915405273,0,0.5443672,3,8,100000
45,257313.96675109863,0,5249.0234375,0,1.0,13350.00991821289,0,1.0,3,8,100000
46,267139.196395874,0,1036.8824005126953,0,1.0,14595.985412597656,0,1.0,3,8,100000
47,277829.1702270508,0,2946.138381958008,0,1.0,9070.873260498047,0,0.9860647,3,8,100000
48,295601.84478759766,0,2055.8834075927734,0,1.0,8682.966232299805,0,0.9738569,3,8,100000
49,255452.87132263184,16384,3074.169158935547,0,1.0,9727.001190185547,0,0.63509655,3,8,100000
50,246871.9482421875,0,3751.039505004883,0,1.0,12914.180755615234,0,1.0,3,8,100000
51,248418.09272766113,0,1725.1968383789062,0,1.0,8678.913116455078,0,0.4723939,3,8,100000
52,266881.22749328613,0,7641.077041625977,0,1.0,5607.128143310547,0,0.58064437,3,8,100000
53,285539.1502380371,0,2849.8172760009766,0,1.0,12459.039688110352,0,1.0,3,8,100000
54,276381.9694519043,0,7621.76513671875,0,1.0,6620.168685913086,0,0.47558573,3,8,100000
55,271187.06703186035,0,4970.073699951172,0,1.0,9502.887725830078,0,0.6908711,3,8,100000
56,275329.1130065918,0,13808.250427246094,0,1.0,8806.943893432617,0,0.62692696,3,8,100000
57,274944.7822570801,0,2639.0552520751953,0,1.0,11706.829071044922,0,1.0,3,8,100000
58,274784.0881347656,0,5488.872528076172,0,1.0,10333.776473999023,0,0.5131518,3,8,100000
59,288136.0054016113,0,3211.0214233398438,0,1.0,13900.995254516602,0,0.5635136,3,8,100000
60,252819.06127929688,0,6509.065628051758,0,1.0,12446.880340576172,0,0.65807086,3,8,100000
61,248245.0008392334,0,7620.811462402344,0,1.0,7651.090621948242,0,0.685931,3,8,100000
62,247533.08296203613,0,4597.902297973633,0,1.0,7575.98876953125,0,0.60172,3,8,100000
63,276284.93309020996,0,4984.855651855469,0,1.0,10181.903839111328,0,1.0,3,8,100000
64,261853.9333343506,0,2240.896224975586,0,1.0,13586.044311523438,0,0.6974673,3,8,100000
65,272674.7989654541,0,7209.77783203125,0,1.0,9807.825088500977,0,1.0,3,8,100000
